trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,15,-9.277907359201956,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-101.62903002577097,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-58.37142244034601,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-35.20012306686249,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",35,6,-110.44345822547197,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,1,-138.22285167464892,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 3}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-80.08502229090011,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-45.02045106514895,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-115.91253137190148,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,0,-135.46094371365228,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,5,-49.73792912309945,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",35,15,-93.07796271872044,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-68.90365122932741,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-45.71592350395135,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",30,0,-133.01281105040687,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,19,-1.4988071270444774,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-32.52747295170504,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-36.126822811278494,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-41.95744035548189,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",20,10,-0.6682619999534958,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,11,-18.840007633663742,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",25,6,-117.80693671788606,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 2}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,4,-17.289987420232517,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-71.20364694573716,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,0,-115.52341529742954,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,5,-27.7020110220429,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",30,0,-66.14690539332162,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-7.150863389782085,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-84.52856693232893,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,9,18.16885642655634,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-25.033154079525957,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-4.458620085324933,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,-20.853849999743957,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",35,0,-137.35279775790298,"{0: 24, 1: 4, 2: 3, 3: 2, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,2,-82.35808539202554,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,5,-4.067033734798948,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,15,8.985699501430725,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,4,-6.420316776084778,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,17,9.277456343715572,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,22,14.330411165014414,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,12,1.3910462157898034,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,-47.69190339481559,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
